,meter_reading,hour,minute,day,month,year
664,989619.0,22,15,7,8,2023
665,989625.0,22,30,7,8,2023
666,989633.0,22,45,7,8,2023
667,989639.0,23,0,7,8,2023
668,989644.0,23,15,7,8,2023
669,989649.0,23,30,7,8,2023
670,989654.0,23,45,7,8,2023
671,989659.0,0,0,8,8,2023
672,989664.0,0,15,8,8,2023
673,989672.0,0,30,8,8,2023
674,989679.0,0,45,8,8,2023
675,989685.0,1,0,8,8,2023
676,989690.0,1,15,8,8,2023
677,989694.0,1,30,8,8,2023
678,989699.0,1,45,8,8,2023
679,989704.0,2,0,8,8,2023
680,989709.0,2,15,8,8,2023
681,989717.0,2,30,8,8,2023
682,989723.0,2,45,8,8,2023
683,989730.0,3,0,8,8,2023
684,989734.0,3,15,8,8,2023
685,989739.0,3,30,8,8,2023
686,989743.0,3,45,8,8,2023
687,989748.0,4,0,8,8,2023
688,989753.0,4,15,8,8,2023
689,989759.0,4,30,8,8,2023
690,989766.0,4,45,8,8,2023
691,989773.0,5,0,8,8,2023
692,989778.0,5,15,8,8,2023
693,989782.0,5,30,8,8,2023
694,989787.0,5,45,8,8,2023
695,989792.0,6,0,8,8,2023
696,989797.0,6,15,8,8,2023
697,989803.0,6,30,8,8,2023
698,989810.0,6,45,8,8,2023
699,989819.0,7,0,8,8,2023
700,989827.0,7,15,8,8,2023
701,989836.0,7,30,8,8,2023
702,989843.0,7,45,8,8,2023
703,989852.0,8,0,8,8,2023
704,989861.0,8,15,8,8,2023
705,989870.0,8,30,8,8,2023
706,989879.0,8,45,8,8,2023
707,989887.0,9,0,8,8,2023
708,989898.0,9,15,8,8,2023
709,989910.0,9,30,8,8,2023
710,989921.0,9,45,8,8,2023
711,989931.0,10,0,8,8,2023
712,989940.0,10,15,8,8,2023
713,989949.0,10,30,8,8,2023
714,989959.0,10,45,8,8,2023
715,989969.0,11,0,8,8,2023
716,989983.0,11,15,8,8,2023
717,989994.0,11,30,8,8,2023
718,990004.0,11,45,8,8,2023
719,990015.0,12,0,8,8,2023
720,990028.0,12,15,8,8,2023
721,990039.0,12,30,8,8,2023
722,990049.0,12,45,8,8,2023
723,990062.0,13,0,8,8,2023
724,990073.0,13,15,8,8,2023
725,990084.0,13,30,8,8,2023
726,990094.0,13,45,8,8,2023
727,990108.0,14,0,8,8,2023
728,990118.0,14,15,8,8,2023
729,990129.0,14,30,8,8,2023
730,990141.0,14,45,8,8,2023
731,990154.0,15,0,8,8,2023
732,990164.0,15,15,8,8,2023
733,990174.0,15,30,8,8,2023
734,990187.0,15,45,8,8,2023
735,990200.0,16,0,8,8,2023
736,990210.0,16,15,8,8,2023
737,990220.0,16,30,8,8,2023
738,990227.0,16,45,8,8,2023
739,990237.0,17,0,8,8,2023
740,990245.0,17,15,8,8,2023
741,990251.0,17,30,8,8,2023
742,990259.0,17,45,8,8,2023
743,990267.0,18,0,8,8,2023
744,990274.0,18,15,8,8,2023
745,990281.0,18,30,8,8,2023
